b:tnow in s;m:u in p.u.
0.00;1.000000
0.02;1.000002
0.04;1.000038
0.06;1.000108
0.08;1.000111
0.1;1.000051
0.12;0.999973
0.14;0.999921
0.16;0.999925
0.18;0.999942
0.2;0.999912
0.22;0.999865
0.24;0.999894
0.26;0.999957
0.28;0.999962
0.3;0.999949
0.32;0.999919
0.34;0.999888
0.36;0.999935
0.38;0.999981
0.4;0.999970
0.42;0.999978
0.44;0.999974
0.46;0.999938
0.48;0.999922
0.5;0.999930
0.52;0.999948
0.54;0.999939
0.56;0.999948
0.58;1.000003
0.6;0.999984
0.62;0.999939
0.64;0.999975
0.66;0.999985
0.68;0.999947
0.7;0.999954
0.72;0.999992
0.74;1.000039
0.76;1.000088
0.78;1.000089
0.8;1.000035
0.82;0.999981
0.84;0.999972
0.86;0.999986
0.88;0.999986
0.9;0.999994
0.92;1.000001
0.94;0.999970
0.96;0.999967
0.98;0.999983
1;0.999920
1.02;0.999836
1.04;0.999815
1.06;0.999831
1.08;0.999924
1.1;1.000020
1.12;0.999974
1.14;0.999919
1.16;0.999970
1.18;1.000009
1.2;0.999961
1.22;0.999900
1.24;0.999872
1.26;0.999834
1.28;0.999701
1.3;0.999608
1.32;0.999775
1.34;0.999973
1.36;0.999992
1.38;0.999975
1.4;0.999952
1.42;0.999933
1.44;0.999932
1.46;0.999883
1.48;0.999873
1.5;0.999899
1.52;0.999859
1.54;0.999816
1.56;0.999837
1.58;0.999894
1.6;0.999913
1.62;0.999865
1.64;0.999864
1.66;0.999917
1.68;0.999930
1.7;0.999973
1.72;1.000018
1.74;1.000010
1.76;1.000032
1.78;1.000020
1.8;0.999933
1.82;0.999899
1.84;0.999913
1.86;0.999924
1.88;0.999950
1.9;0.999887
1.92;0.999786
1.94;0.999800
1.96;0.999800
1.98;0.999782
2;0.999860
2.02;0.999865
2.04;0.999811
2.06;0.999864
2.08;0.999965
2.1;1.000030
2.12;1.000043
2.14;1.000020
2.16;0.999984
2.18;0.999983
2.2;0.999984
2.22;0.999931
2.24;0.999847
2.26;0.999777
2.28;0.999790
2.3;0.999905
2.32;1.000017
2.34;1.000065
2.36;1.000078
2.38;1.000022
2.4;0.999906
2.42;0.999835
2.44;0.999845
2.46;0.999916
2.48;0.999952
2.5;0.999864
2.52;0.999776
2.54;0.999812
2.56;0.999864
2.58;0.999863
2.6;0.999895
2.62;0.999922
2.64;0.999894
2.66;0.999883
2.68;0.999858
2.7;0.999817
2.72;0.999861
2.74;0.999937
2.76;0.999922
2.78;0.999895
